obsnme,head,date,time
ob_161_1,4704.77979,1988-07-21,00:00:00
ob_161_2,4699.07979,1996-01-14,00:00:00
ob_161_3,4699.37979,1996-06-03,00:00:00
ob_161_4,4698.57979,1996-09-26,00:00:00
ob_161_5,4698.87979,1996-11-26,00:00:00
ob_161_6,4692.67979,1997-09-08,00:00:00
ob_162_1,4788.6906100000015,1981-03-18,00:00:00
ob_162_2,4790.74061,1981-04-22,00:00:00
ob_162_3,4788.53061,1981-05-22,00:00:00
ob_162_4,4786.82061,1981-06-18,00:00:00
ob_162_5,4787.09061,1981-07-22,00:00:00
ob_162_6,4782.74061,1981-08-17,00:00:00
ob_162_7,4785.07061,1981-09-18,00:00:00
ob_162_8,4788.83061,1981-10-19,00:00:00
ob_162_9,4789.87061,1981-11-19,00:00:00
ob_162_10,4789.9006100000015,1981-12-16,00:00:00
ob_162_11,4790.04061,1982-01-24,00:00:00
ob_162_12,4790.16061,1982-02-18,00:00:00
ob_162_13,4789.980610000001,1982-03-19,00:00:00
ob_162_14,4784.64061,1985-05-15,00:00:00
ob_162_15,4786.9006100000015,1986-06-04,00:00:00
ob_162_16,4788.03061,1986-08-18,00:00:00
ob_162_17,4788.81061,1986-12-02,00:00:00
ob_162_18,4787.47061,1987-03-09,00:00:00
ob_162_19,4789.08061,1987-06-15,00:00:00
ob_162_20,4780.270610000001,1987-08-17,00:00:00
ob_162_21,4789.10061,1987-12-08,00:00:00
ob_162_22,4788.18061,1988-03-08,00:00:00
ob_162_23,4786.03061,1988-06-06,00:00:00
ob_162_24,4781.4006100000015,1988-07-12,00:00:00
ob_162_25,4780.50061,1988-09-19,00:00:00
ob_162_26,4782.13061,1991-12-05,00:00:00
ob_162_27,4781.770610000001,2000-11-27,00:00:00
ob_162_28,4780.18061,2004-12-15,00:00:00
ob_162_29,4781.04061,2005-03-04,00:00:00
ob_162_30,4774.980610000001,2005-05-03,00:00:00
ob_162_31,4763.82061,2005-09-01,00:00:00
ob_162_32,4770.05061,2005-10-05,00:00:00
ob_162_33,4776.46061,2005-11-07,00:00:00
ob_162_34,4779.12061,2005-12-12,00:00:00
ob_162_35,4780.12061,2006-01-12,00:00:00
ob_162_36,4781.60061,2006-03-01,00:00:00
ob_162_37,4780.230610000001,2006-04-11,00:00:00
ob_162_38,4774.81061,2006-05-08,00:00:00
ob_162_39,4769.1506100000015,2006-06-12,00:00:00
ob_162_40,4765.87061,2006-07-05,00:00:00
ob_162_41,4768.85061,2006-08-01,00:00:00
ob_162_42,4770.03061,2006-08-30,00:00:00
ob_162_43,4778.06061,2006-10-31,00:00:00
ob_162_44,4781.520610000001,2006-12-18,00:00:00
